"Data Source","World Development Indicators",

"Last Updated Date","2020-10-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Antigua and Barbuda","ATG","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","34811111.1111111","43451851.8518519","69600000","95400000","118955555.555556","147796296.296296","117211111.111111","147492592.592593","187200000","293462962.962963","303144444.444444","283800000","338911111.111111","340559259.259259","357870370.37037","386455555.555556","398500000","421925925.925926","438925925.925926","467366666.666667","478288888.888889","489922222.222222","529322222.222222","498461555.555556","486572962.962963","474439629.62963","534751185.185185","592338407.407407","682720518.518518","818413185.185185","932372148.148148","952207888.888889","706477111.111111","678929888.888889","641367703.703704","701982925.925926","720788037.037037","742592592.592592","670414259.259259","686701666.666667","","","","",
"Australia","AUS","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","2611714637.69739","2952178295.44182","2512039422.10774","2974577220.29343","3270243028.33464","3959009967.52156","4124762011.42345","4222197334.52794","4730652928.65942","4882965617.65035","5455258147.60891","5839399708.81398","6220794392.52337","7022421524.66368","11737656595.4311","14315171377.8506","14038825160.721","16144757972.0119","17265959846.605","20687265704.8733","23827298050.1393","29570416811.7961","32610614586.7814","27658399625.6434","28996558594.4575","31190457927.4373","32912702853.9452","32314716781.3658","39231664726.4261","50821594332.7091","53061177375.9138","52681108233.2627","53341536568.4842","55746908375.4919","59676236596.3335","73019750519.7505","77631259484.0668","82133354202.5356","81674014786.6784","80794585787.6927","89664636061.0438","83770526993.6675","82018627040.6028","98900407687.8276","121992459809.361","145657795820.177","161970649895.178","186383763837.638","239348254252.462","211475482255.927","238851404915","285898649314.798","335971334295.731","334974864060.737","315025245570.55","290742990265.413","260223467753.676","273699374010.106","306677776916.518","300194535831.784","",
"Austria","AUT","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","4222754802.8579","4883423780.152","6036690755.40211","8127808138.30909","10716324867.4912","11418675910.5633","13387941781.0846","16661465073.6825","18958761300.1042","23982629747.8127","28828883216.3369","25143196302.0563","23075814390.5784","23074388080.2819","22995355271.3018","24397666666.6667","31708292654.3488","39047893230.3004","44657529700.2117","47283383151.3261","59578835531.8891","61623796700.0589","67252988605.0589","60542945344.848","68853040597.5184","83696833629.0433","85017442162.7242","80519032585.4099","84196220542.4633","84492009375.6659","82683895338.1242","84695659955.2573","88826566911.3495","109433239277.652","132172572634.716","143496791443.85","158748036632.794","187241938133.041","210090420389.629","167491372603.501","187158711051.024","220535791188.085","209537698503.437","217722805420.505","221515007769.412","188382123647.74","192150177166.056","212234818067.612","237021018504.816","232097459615.294","",
"Azerbaijan","AZE","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3474320239.18929","3622902229.55496","2725096546.55896","3019037459.25035","1015000340.34885","1630233381.04914","1776447337.82841","2102007528.23087","2424529283.64673","1917519517.81886","2023511150.01356","2129925910.01825","3121065624.35713","4769089798.41173","6312201078.66083","7007086947.32388","8132639355.27199","9423610301.82962","11464094449.8539","10235008708.634","10940949296.1256","15881853868.5577","17621945010.1833","19475589547.4825","19721280122.4021","18473453054.8507","16529046813.3108","17104055310.2487","17705176470.5882","17712411764.7059","",
"Burundi","BDI","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","26250000","29750000","35000000","33250000","31500002","19928888.8888889","21494857.1428571","21192000","24488000","23004571.4285714","28208000","35832000","37205714.2857143","40576812.5359258","53633015.8730159","79994920.6349206","74673623.1884058","94676666.6666667","123426666.666667","177800000","214223333.333333","213555555.555556","272632222.222222","268000000","232495196.72542","239045071.671224","268172621.529298","291223994.011007","280918091.10011","255573911.399346","314442789.991533","332769069.983968","319246482.287821","254942339.37397","263464979.043231","272899694.103893","136902390.42114","140485312.899106","173751546.009097","129001348.569806","141321270.48441","138400674.414404","140218224.200461","164737396.316344","225367196.228575","322845670.193491","446954632.114287","433983778.268307","591543765.035539","520184945.412831","605576379.83331","764650793.891204","793324476.521963","919359821.304325","924140616.195898","832256768.774418","742622308.705643","854981478.321974","905279155.074935","985821794.293151","",
"Belgium","BEL","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","11422514158.9351","12470410245.8679","15284572358.1707","22015693645.208","29348848902.237","29954319622.6829","34320538244.5141","39904208216.0945","47131230178.0453","60077552421.574","67141114636.5016","58814106040.8518","55093659456.1187","52310487810.6509","53192322675.2304","52988261226.9855","66063110890.3739","80749673041.5991","92534612397.1476","100782764127.764","122899592950.266","122855235794.448","132088996110.414","118889056902.985","134214479262.117","162055281882.868","161993745928.339","153905164636.897","156499555456.768","156461964628.17","164593790307.721","160765011185.682","167805383022.774","202105643340.858","243279115967.221","270849023753.265","296811441475.348","348823706542.568","413249597187.637","320441789385.941","356614131768.442","422278559134.63","398639664307.636","409627748603.299","422300543807.253","353023497288.365","372196820230.725","408027736639.53","449294025159.451","431968942359.215","",
"Benin","BEN","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","27392931.5879477","22470098.0713944","23547272.2159845","29521371.2224978","33034384.3459012","43212954.8206181","49061969.2248077","60547029.2994863","62251308.8497674","70874399.428221","81609765.5923541","93259568.232455","109969562.460619","130886423.388841","163593479.063766","226162498.384372","216705681.720691","260873171.45047","320872304.69046","439164032.237441","524469482.145934","567561768.14245","508205482.670296","345886049.660689","325135991.277854","383239061.752248","435776317.700623","483576008.712416","519825023.283673","372643203.01384","520152807.120127","602729559.610204","567957714.399145","748725692.941088","576481292.395399","790421188.969052","708783113.714255","715320118.375231","797921924.9776","1153626144.16685","939007989.591788","1039879143.31921","1003657772.97234","1226073343.90571","1321690423.80171","1353205875.76765","1526225059.91221","2208516281.11941","2498935557.03785","2403039865.40906","2704110347.67377","2819548546.35112","2990340731.08098","3959347852.68099","4495143591.19349","3648295525.95119","3709467139.69628","4352985123.1373","4923520371.58844","4900152309.44107","",
"Burkina Faso","BFA","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","52340174.8240483","55303956.0858044","59614687.0094664","61742281.2278204","47262666.4560777","48113645.220433","50541606.4253105","62777892.6825064","70389699.4966162","79074242.0483112","73994573.5051452","96149821.8309071","123177211.94028","154655047.285848","183824303.316181","283412263.564162","263748343.589297","344381930.774879","409486806.897939","511997958.834458","602966359.727281","558238164.599306","554828007.505641","473268805.403788","419829355.821608","481677884.152019","589940838.720911","665476559.086833","709757519.098655","618479382.661637","758453092.890852","731992034.934275","437468498.234997","482110691.891892","474345862.228087","633116355.176136","714319767.828281","651175221.482439","789066274.069555","905163660.483871","776980431.276297","720842628.320341","809293991.777766","1000320937.54941","1338676864.63816","1494832909.70582","1579776321.8313","1784436592.40252","2375548415.47173","2495055649.23329","2887043283.23912","3781344566.96529","4351201613.41658","4968861222.40229","4446645376.58481","3902427844.37453","4103752210.07024","4629354929.68565","5166927651.89807","5109802104.75653","",
"Bangladesh","BGD","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","397875421.692741","563656831.773051","549204082.347246","620050850.365896","760610844.781565","789516322.799841","814737821.797812","913639901.201848","868581340.491987","988170710.740801","1124763246.98076","938861337.699821","863537083.333333","958701323.737309","1294857682.65127","1575422622.80306","1784273649.83165","1194951861.66774","2056130687.83069","2459010308.8042","3243617764.85788","2858506731.94615","2877295409.18164","2590824915.82492","2538320000","2860038461.53846","2577133333.33333","2842322580.64516","3255865305.00322","3679750953.7362","4126170021.39444","3785238095.23809","3915198938.99204","4677910052.91005","4681795511.22194","6580597014.92537","7601784841.0758","7625081967.21311","8058876651.98238","8525935940.09983","9060862651.56033","10102557449.9629","9060891520.11144","9761830742.65976","10229675556.3105","13891430894.3089","15626727218.5825","18268578048.0741","22873050575.7178","23726338034.7197","25106319010.5127","35373857176.7684","37272043676.6211","40135237754.4778","44128009984.4957","48280651359.4871","47171578943.3335","50611162553.9762","64245546188.5842","64859332297.6434","",
"Bulgaria","BGR","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","6088384615.38462","6859642857.14286","6424733333.33333","6118555555.55556","6729388888.88889","7411526315.78947","8802352941.17647","11977307692.3077","10352294117.6471","10589277777.7778","7577727272.72727","4290322580.64516","5479381443.29897","4963768115.94203","4429059040.59041","4351577380.95238","4588656548.62282","4174189904.27493","5276354237.67326","6449155466.07172","5500577403.09895","6269113379.41136","6827243139.14299","9430015005.48277","13630160624.7222","17080644177.6253","22027000577.1821","31626174947.5157","39341595243.4373","26258237719.4853","26837706782.1849","33700520440.8105","34493513797.6347","36290976520.0869","37432412834.0795","31914822602.5845","31796805429.8643","37119719965.4278","41887555823.7779","40857638809.3875","",
