"Data Source","World Development Indicators",

"Last Updated Date","2020-10-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1121229050.27933","1195530726.25698","1264245810.05587","1326256983.24022","1377094972.06704","1393854748.60335","1353631284.9162","1260335195.53073","1275418994.41341","1450279329.60894","1597765363.12849","1596648044.69274","1730167597.76536","1858659217.8771","1593854748.60335","1459217877.09497","1729050279.32961","1653631284.9162","2067039106.14525","2144692737.43017","2146368715.0838","2114525139.6648","2241340782.1229","","","",
"Afghanistan","AFG","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","22222233.3333333","24444455.5555556","26666680","68888922.2222222","71111144.4444444","113333340","120000000","113333340","122222228.888889","142222222.222222","171111104.444444","199999988.888889","235555544.444444","224444437.777778","302222222.222222","300000006.666667","337777777.777778","344444451.111111","357777771.111111","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2110577455.85643","2566011311.7345","3057796258.22522","2339889153.51599","1383202846.60124","1985367815.21959","1417300546.13462","1136013206.34948","1152895767.75209","1609466077.16169","1481080337.97624","",
"Angola","AGO","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8187952996.90344","6736804052.06298","8725781181.80022","9676099739.56623","13749769575.3243","24225663183.7639","33245105956.2189","44319695565.281","64168383679.8013","41310593206.4512","51572818660.8665","67822745138.1171","71632934595.8855","69376269461.8533","65126113465.185","34572954933.6294","28440561886.9778","35420915616.9387","41388899132.5883","","",
"Albania","ALB","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","335069933.049631","319090900.273501","327312512.5","333550012.5","348287487.5","418924987.5","312500000","82300000","81519209.6758072","189399541.45744","225407481.032684","302465325.386337","371808985.54913","230303544.648943","291949986.768987","540977914.554671","700083398.144547","836717875.539468","910729684.956035","1169850310.53175","1596261928.9261","1853022970.79312","2242665086.02148","3016116154.41694","3259293923.566","3040048284.81513","3337085745.45853","3769457697.94184","3565049332.5273","3694412184.43974","3732057451.6496","3104896964.71229","3437126527.98196","4110290931.98992","4776973438.08455","4814309044.63144","",
"Andorra","AND","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","163617422019.265","186348022138.668","213687727842.688","220290309663.092","172020560150.524","206895622612.633","288926579646.482","266509912130.51","277259027374.967","347267152607.927","462005218234.401","624641510719.036","762916071162.121","889464259494.176","1187960818728.39","832420646379.951","1040028877291.73","1362582427998.45","1543218007727.95","1527893532422.59","1450851442096.53","1068606249627.43","982417802385.883","1124602309035.06","1317383620720.14","1253333527689.52","",
"United Arab Emirates","ARE","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50787202178.3526","54362695711.3683","69538461538.4615","93968596324.03","122070878148.4","152433690946.222","186690265486.726","248808168822.328","201958883594.282","238328114363.513","315867937372.362","375513955071.477","392244520081.688","401366643975.494","361252552756.978","360626276378.489","384043567052.417","392863172226.004","389372362151.123","",
"Argentina","ARG","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","1147183934.48134","1441753549.59206","1424603255.4971","1764705803.20912","1904761830.17968","1818181857.73576","1714285705.23432","2000000041.3448","1769210602.71535","2000000003.29714","2500000047.48951","4000000136.32269","4999999839.57003","3054054017.48759","4695000304.43367","5459999880.60299","4999999950.3057","4508960596.86682","3895791554.56352","5445263189.7662","7663966255.62989","9515669466.75192","6003000151.64854","10376666928.8033","9054444307.18032","8747619117.06127","12029545360.5898","10007559520.4417","14643450361.4013","14561091033.0362","15095901877.6499","16357317317.3173","19385100000","24978532000","28381400000","30928400000","31137200000","27862300000","31223690400","31112418400","27736610298.2555","33084505277.8061","39266996605.7973","46198180131.0044","53550250227.3909","65162321195.025","79762958392.3012","65133480388.4946","80208867995.7171","97810932629.3764","88655850853.7721","80690471898.442","75818867911.0825","63671789068.8987","69842486095.8653","72256505014.2791","74240343947.3216","77747790213.0726","",
"Armenia","ARM","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","789960888.429774","842829165.092108","506749951.25833","567247790.509983","517226119.394369","351337813.033468","371135631.409224","332378715.799676","359865213.08226","383089748.692254","423629629.686612","511522177.782582","661384145.809715","855676348.11756","1008274439.96626","1338475057.949","1413899467.45556","1674567081.12247","1663675191.04852","1268730216.88583","1828759529.03772","2284326829.81437","2927398422.95477","3153950545.58344","3316273473.87645","3137295851.61313","3495833404.44157","4303143004.87823","4700537839.56078","5267082961.19577","",
"American Samoa","ASM","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","518000000","513000000","460000000","498000000","495000000","505000000","641000000","530000000","364000000","335000000","482000000","457000000","426000000","427000000","427000000","362000000","438000000","","",
"Antigua and Barbuda","ATG","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","31551851.8518519","46111111.1111111","75440740.7407407","74077777.7777778","91137037.037037","93562962.962963","94029629.6296296","129688888.888889","151681481.481481","205892592.592593","226985185.185185","265525925.925926","290937037.037037","345300000","369862962.962963","407266666.666667","439285185.185185","436459259.259259","401607407.407407","402522222.222222","443288888.888889","465900000","472829629.62963","466861925.925926","445334074.074074","427865296.296296","462637925.925926","533973111.111111","545269370.37037","548169814.814815","581289333.333333","625368666.666667","561623518.518518","523833888.888889","537755740.740741","543333333.333333","545555555.555555","590740740.740741","602193555.555556","608888888.888889","","","","",
"Australia","AUS","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","2413484152.76067","2437003023.85486","2772986896.62896","2796505767.72315","3549109642.73715","3428155448.53847","3525590771.64296","3915332064.06093","4016127225.89316","4377869862.24661","5354462985.77668","5715085675.88756","6663551401.86916","9019859064.70211","11680176860.7222","13874095316.1273","14185049792.0081","15449644413.8564","16123392736.296","19275247074.8608","24616155988.8579","26334610472.5415","26231932031.3362","24060832943.3786","26236189096.1782","27497123571.3738","27321628427.5322","29290629962.9434","37674621653.085","45334256168.0645","47071950750.2886","52249430970.8814","54226716911.482","54747048903.8786","58015219647.1809","65793733293.7333","75814112291.3505","83327594302.7078","78166587533.0665","71285875422.9853","80697104816.9315","84096812278.6305","81986709920.4688","89076295864.8806","105368473467.065","126651631333.634","148419436957.173","172356912930.831","212503133393.017","213439846856.133","227050118911.301","299391698708.469","332126211590.019","314546014158.203","308750573762.967","270133954571.928","232715824719.755","281898333207.633","312657933493.528","336068516664.283","",
"Austria","AUT","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","4210936385.28711","4828105022.57958","5940800642.89541","7945377117.15511","10245142962.3086","11254488267.3619","12352078468.9729","14409079260.6777","18066572822.894","22832410396.2944","26006990002.1272","23441765249.6976","22623842784.5446","21981186839.283","22265892373.2893","24230778531.5243","31689309598.9184","38996595559.4253","44096573609.718","46607267810.7124","59423125378.1919","60116254331.1727","64678674931.1295","59900881225.6004","65453950006.0234","80827705745.8714","81256732518.8459","78792186266.7719","83704902178.7461","85477892606.009","85305371291.6897","88047337807.6063","96701496329.7572","116638893905.192","141025428358.58","153625979355.802","170827273867.771","204299603065.973","229126805331.771","180907557654.904","200892688044.939","232583677064.385","220981850149.848","229834282276.735","235966614250.844","202703358781.359","207301247712.457","226048310963.636","253972522205.357","248693769975.843","",
