countryname,Year,infant_mortality,us_length,Score,adult_literacy,imports,exports
Israel,31,3.5,1,NA,NA,92884848913.1589,92365862638.1878
Israel,32,3.4,1,NA,NA,92618369399.4489,92461158743.3595
Israel,33,3.3,1,NA,NA,93299669293.8465,98534149105.3358
Israel,34,3.3,1,NA,NA,94730390212.204,99559381485.0786
Israel,35,3.2,1,NA,NA,84481552909.395,93564341151.7517
Jordan,10,30,1,NA,NA,3728039777.00768,2489227060.41886
Jordan,11,29.1,2,NA,NA,3469819356.73374,2493170803.34851
Jordan,12,28.3,3,NA,NA,4375845837.01089,2677110914.97499
Jordan,13,27.5,4,NA,NA,4548564006.35012,2831721749.17015
Jordan,14,26.8,5,NA,NA,4447688564.47688,2996135680.54959
Jordan,15,26.2,5,NA,NA,4901826484.01826,3479452054.79452
Jordan,16,25.5,5,NA,NA,5415937940.76164,3663187588.15233
Jordan,17,24.9,5,NA,NA,5185754583.92101,3571932299.01269
Jordan,18,24.3,5,NA,NA,5089844851.90409,3548236953.45557
Jordan,19,23.8,5,NA,NA,4989985895.62764,3533709449.92948
Jordan,20,23.2,5,NA,NA,5795768688.29337,3538928067.70099
Jordan,21,22.6,5,NA,NA,6027362482.36953,3781805359.6615
Jordan,22,22.1,5,NA,NA,6383638928.0677,4544146685.4725
Jordan,23,21.5,5,NA,89.8923187255859,6967136812.41185,4829901269.39351
Jordan,24,20.9,5,NA,NA,9406911142.45416,5955712270.80395
Jordan,25,20.4,6,NA,91.1307525634766,11859379407.6164,6634978843.44147
Jordan,26,19.9,7,NA,NA,13231029619.1819,8111847672.77856
Jordan,27,19.3,8,NA,92.199577331543,15700423131.1707,9279830747.53173
Jordan,28,18.8,9,NA,NA,19227842750.4579,12415386783.1478
Jordan,29,18.3,10,NA,NA,16458591549.2958,11061126760.5634
Jordan,30,17.8,10,NA,92.5510406494141,18241408450.7042,12751830985.9155
Jordan,31,17.3,10,NA,95.9044494628906,21301126760.5634,13743802816.9014
Jordan,32,16.8,10,NA,97.8903198242188,22975492957.7465,14307464788.7324
Jordan,33,16.3,10,NA,NA,24172112676.0563,14227605633.8028
Jordan,34,15.8,10,NA,NA,24985070422.5352,15524929577.4648
Jordan,35,15.4,10,NA,NA,22694225352.1127,14102112676.0563
Kenya,25,54.3,1,NA,NA,6739991079.23991,5341992929.56967
Kenya,26,51.8,2,NA,NA,8329130883.42986,5935981292.85667
Kenya,27,49.5,3,NA,72.1570281982422,10218887779.7188,7004914019.51347
Kenya,28,46.2,4,NA,NA,12529038544.1046,8138887724.37561
Kenya,29,44.3,5,NA,NA,11414106939.7042,7416382252.55973
Kenya,30,42.4,5,NA,NA,13427982209.4778,8262811548.69423
Kenya,31,40.3,5,NA,NA,16287456030.1225,9072837988.17261
Kenya,32,39.2,5,NA,NA,17915545050.4912,11205421267.8162
Kenya,33,38,5,NA,NA,18296306789.4834,10978241559.4459
Kenya,34,36.6,5,NA,78.733039855957,20278669096.0872,11243137683.088
Kenya,35,35.5,5,NA,NA,17669394011.9273,10608329725.9583
Kuwait,11,15.3,1,NA,NA,13839254660.5698,1860710517.05944
Kuwait,12,14,1,NA,NA,10766871506.4758,8036810156.78255
Kuwait,13,13.5,1,NA,NA,10602648675.4967,11437086423.8411
Kuwait,14,13.1,1,NA,NA,10518518518.5185,12636363299.6633
Kuwait,15,12.7,1,NA,78.3955001831055,11410857908.8472,14235924932.9759
Kuwait,16,12.3,1,NA,NA,12341349365.3975,16466265865.0635
Kuwait,17,11.9,1,NA,NA,12017804154.3027,16043521266.0732
Kuwait,18,11.5,1,NA,NA,13254593175.853,11377952755.9055
Kuwait,19,11.1,1,NA,NA,11879106438.8962,13837056504.5992
Kuwait,20,10.9,1,NA,NA,11368970013.0378,21297262059.9739
Kuwait,21,10.7,1,NA,NA,12399739158.7871,17900228236.0613
Kuwait,22,10.6,1,NA,NA,13961829549.1938,17015465613.6887
Kuwait,23,10.4,1,NA,NA,16500000000,24939597315.4362
Kuwait,24,10.3,1,NA,NA,19246691550.7296,33831014591.1096
Kuwait,25,10.1,1,NA,93.2744598388672,22839041095.8904,51691780821.9178
Kuwait,26,10,1,NA,93.2821197509766,24541695382.4948,66560992419.0214
Kuwait,27,9.8,1,NA,93.664192199707,32463054187.1921,72698803659.3948
Kuwait,28,9.7,1,NA,93.8983001708984,38210565476.1905,98400297619.0476
Kuwait,29,9.5,1,NA,NA,31129256428.0751,62977762334.9548
Kuwait,30,9.2,1,NA,94.4690093994141,35034891835.3105,76953942777.3901
Kuwait,31,8.9,1,NA,NA,39891304347.8261,112775362318.841
Kuwait,32,8.5,1,NA,95.5131683349609,45744908896.0343,130085744908.896
Kuwait,33,8.1,1,NA,95.585823059082,46579689703.8082,123413258110.014
Kuwait,34,7.7,1,NA,NA,51278988053.4083,111412508784.259
Kuwait,35,7.3,1,NA,95.6854476928711,51478896643.4031,61598537720.1728
Latvia,22,12.8,1,NA,NA,4459957935.42519,3492098681.21874
Latvia,23,12.2,1,NA,NA,5717024966.17882,4243382117.82069
Latvia,24,11.4,1,NA,NA,7852405359.69819,5617268114.99935
Latvia,25,10.7,1,NA,NA,9757172370.87741,7306358431.86061
Latvia,26,10.1,1,NA,NA,13006611487.3338,8573077501.88111
Latvia,27,9.6,1,NA,NA,17759663520.7222,11881890302.2842
Latvia,28,9.1,1,NA,NA,18673335769.6243,14075493348.9256
Latvia,29,8.6,1,NA,NA,11573234639.9778,11149110369.7526
Latvia,30,8.2,1,NA,NA,13102124010.7903,12751741488.9524
Latvia,31,7.8,1,NA,99.8958969116211,17876040111.1419,16458964866.2526
Latvia,32,7.6,1,NA,NA,18494488221.7838,17243779187.2293
Latvia,33,7.4,1,NA,NA,19316303809.0714,18242441157.7087
Latvia,34,7.2,1,NA,NA,19845868386.8274,19206949238.9931
Latvia,35,6.9,1,NA,NA,16695260226.326,16449078455.3425
Lebanon,4,35,1,NA,NA,NA,NA
Lebanon,5,33.6,2,NA,NA,NA,NA
Lebanon,6,32.2,3,NA,NA,NA,NA
Lebanon,7,30.8,4,NA,NA,NA,NA
Lebanon,8,29.4,5,NA,NA,NA,NA
Lebanon,9,28.2,6,NA,NA,2489030212.11525,498732254.806986
Lebanon,10,26.9,14,NA,NA,2836016495.64154,510722596.669521
Lebanon,11,25.8,15,NA,NA,3748853488.53244,587654401.024749
Lebanon,12,24.7,16,NA,NA,4207000159.97291,634069545.770351
Lebanon,13,23.7,17,NA,NA,5334999955.15,728607315.948454
Lebanon,14,22.7,18,NA,NA,5989999912.98137,755509732.09928
Lebanon,15,21.8,19,NA,NA,7304200109.96669,1266386350.80794
Lebanon,16,20.8,20,NA,NA,7563885155.91193,1758689127.46595
Lebanon,17,19.9,21,NA,NA,7490743747.97012,2289054887.95063
Lebanon,18,19,21,NA,NA,7063369152.554,2373803864.0435
Lebanon,19,18.1,21,NA,NA,6391244717.62331,2445876363.86788
Lebanon,20,17.1,21,NA,NA,6202985074.62687,2447097844.11277
Lebanon,21,16.1,21,NA,NA,7051409618.5738,2754228855.72139
Lebanon,22,15.1,21,NA,NA,6692537313.43283,3083250414.5937
Lebanon,23,14.1,21,NA,NA,7501824212.27197,3361194029.85075
Lebanon,24,13.1,21,NA,NA,11832129864.3449,7417557506.00332
Lebanon,25,12.1,21,NA,NA,12068415010.0829,7873085354.09618
Lebanon,26,11.2,21,NA,NA,12218142061.3599,7837807009.68491
Lebanon,27,10.4,21,NA,89.6124420166016,15101534372.4046,9221256284.24544
Lebanon,28,9.7,21,NA,NA,19824163540.5638,11224076778.8391
Lebanon,29,9.2,21,NA,91.1841888427734,20249317982.2222,11751139951.4428
Lebanon,30,8.7,21,NA,NA,23094612058.9055,13464256797.7446
Lebanon,31,8.3,21,NA,NA,26262779872.8358,14518739635.1575
Lebanon,32,7.9,21,NA,NA,26294002587.131,12680893474.8259
Lebanon,33,7.6,21,NA,NA,27906587980.0332,12492026092.67
Lebanon,34,7.3,21,NA,NA,26962653976.0531,11425578093.5987
Lebanon,35,7.1,21,NA,NA,24315275422.2222,11553482873.3002
Lesotho,20,84.1,1,NA,86.2544326782227,NA,NA
Lesotho,21,85.2,2,NA,NA,NA,NA
Lesotho,22,86.3,3,NA,NA,NA,NA
Lesotho,23,87.3,4,NA,NA,NA,NA
Lesotho,24,87.9,5,NA,NA,NA,NA
Lesotho,25,88.1,6,NA,NA,NA,NA
Lesotho,26,87.5,7,NA,NA,NA,NA
Lesotho,27,84.3,7,NA,NA,1880617168.64905,895709867.431232
Lesotho,28,84.5,7,NA,NA,1911937309.34973,935020711.276812
Lesotho,29,78.8,7,NA,75.8002014160156,1986901849.25121,779280149.167424
Lesotho,30,75.2,7,NA,NA,2413002180.30206,941418363.975109
Lesotho,31,71.9,7,NA,NA,2632900418.73855,1230967664.62864
Lesotho,32,72.3,7,NA,NA,2686142421.15197,1035578769.06509
Lesotho,33,71.9,7,NA,NA,2251498990.84898,905412758.4735
Lesotho,34,70.5,7,NA,76.6352005004883,2151612113.22989,931254344.397016
Lesotho,35,69.2,7,NA,NA,2048943837.73288,1012114659.30155
Liechtenstein,21,NA,1,NA,NA,NA,NA
Liechtenstein,22,NA,2,NA,NA,NA,NA
Liechtenstein,23,NA,3,NA,NA,NA,NA
Liechtenstein,24,NA,4,NA,NA,NA,NA
Liechtenstein,25,NA,5,NA,NA,NA,NA
Liechtenstein,26,NA,6,NA,NA,NA,NA
Liechtenstein,27,NA,7,NA,NA,NA,NA
Liechtenstein,28,NA,8,NA,NA,NA,NA
Liechtenstein,29,NA,9,NA,NA,NA,NA
Liechtenstein,30,NA,9,NA,NA,NA,NA
Liechtenstein,31,NA,9,NA,NA,NA,NA
Liechtenstein,32,NA,9,NA,NA,NA,NA
Liechtenstein,33,NA,9,NA,NA,NA,NA
Liechtenstein,34,NA,9,NA,NA,NA,NA
Liechtenstein,35,NA,9,NA,NA,NA,NA
Malawi,22,88.8,1,NA,NA,910299895.805214,554447969.766559
Malawi,23,81.6,1,NA,NA,984214280.216538,647237088.539395
Malawi,24,75.5,1,NA,NA,1133832239.10748,655182957.623617
Malawi,25,70.7,1,NA,NA,1437753337.29665,662493075.447225
Malawi,26,67.1,1,NA,NA,1468318218.41214,705004282.663118
Malawi,27,64.5,1,NA,NA,1468752616.69095,1033381694.9884
Malawi,28,61.7,1,NA,NA,2091637229.42984,1205568892.42806
Malawi,29,59.6,1,NA,NA,1959765493.18573,1239999506.2582
Malawi,30,57.5,1,NA,61.3097190856934,2426167893.9069,1585900946.72818
Malawi,31,53.8,1,NA,NA,2241976034.32248,1663004622.54537
Malawi,32,50.2,1,NA,NA,2512564932.19754,1579668895.972
Malawi,33,47.3,1,NA,NA,2351558270.10052,1968020399.15227
Malawi,34,45.1,1,NA,65.1453704833984,2396448729.31199,2038207955.92708
Malawi,35,43.4,1,NA,62.1435394287109,2278726548.01045,1858207010.407
Mali,20,116,1,NA,NA,973208000.322483,664046686.666396
Mali,21,112.6,2,NA,NA,1174335576.3715,911806458.733068
Mali,22,108.8,3,NA,NA,1156885512.83939,1092533988.38029
Mali,23,104.7,4,NA,24,1545515187.27709,1212062076.36163
Mali,24,100.6,5,NA,NA,1722328562.1695,1289098228.83414
Mali,25,96.7,6,NA,NA,1945249023.25229,1436228805.52289
Mali,26,93.2,7,NA,26.176549911499,2247705912.75386,1963267806.21327
Mali,27,90.1,8,NA,NA,2647158117.3576,1967357221.48916
Mali,28,87.5,9,NA,NA,3756036384.56267,2463814072.76779
Mali,29,85,10,NA,NA,2935591312.15793,2212791857.79003
Mali,30,82.9,10,NA,31.0997505187988,3757042067.78453,2441103302.92811
Mali,31,81,10,NA,30.6186695098877,4052823342.17507,2953283819.62865
Mali,32,79.2,10,NA,NA,3889881698.52711,3465870808.52397
Mali,33,77.6,10,NA,NA,5280799757.03584,3302796112.5734
Mali,34,75.9,10,NA,NA,5470601101.74984,3240063998.70382
Mali,35,74.5,10,NA,33.0688896179199,5188968386.86761,3150880397.82818
Malta,22,6.4,1,NA,NA,5028809028.80903,5235026235.02623
Malta,23,6.2,2,NA,NA,5830431318.99397,5877887788.77888
Malta,24,6.1,3,NA,NA,6353388141.50473,6272795216.74141
Malta,25,6,4,NA,92.3630905151367,6830742444.96953,6674418604.65116
Malta,26,5.9,5,NA,NA,8570066491.02998,8341989712.70857
Malta,27,5.9,6,NA,NA,10163701067.6157,10208185053.3808
Malta,28,5.8,7,NA,NA,13351252380.2549,13328987842.3905
Malta,29,5.7,8,NA,NA,12727424284.5235,12599194220.6168
Malta,30,5.6,8,NA,NA,13488267267.6654,13408590746.3874
Malta,31,5.6,8,NA,93.3073577880859,15049251252.784,15263155484.4098
Malta,32,5.5,8,NA,NA,14791441089.5542,15219116407.5549
Malta,33,5.3,8,NA,NA,15303616018.0635,15940739407.6239
Malta,34,5.2,8,NA,NA,15430495017.9354,16825405606.4833
Malta,35,5.1,8,NA,NA,15445760124.265,16477061799.6228
Marshall Islands,20,33.5,1,NA,NA,116285000,33100500
Marshall Islands,21,33.3,2,NA,NA,114186200,31151900
Marshall Islands,22,33.2,3,NA,NA,98956900,36065300
Marshall Islands,23,33,4,NA,NA,113832200,39620500
Marshall Islands,24,32.7,4,NA,NA,111650000,41888100
Marshall Islands,25,32.5,4,NA,NA,127259900,46380400
Marshall Islands,26,32.4,4,NA,NA,125358700,37360700
Marshall Islands,27,32.2,4,NA,NA,133234000,40685200
Marshall Islands,28,32.1,4,NA,NA,135985600,44116900
Marshall Islands,29,31.9,4,NA,NA,152343400,43263000
Marshall Islands,30,31.8,4,NA,NA,177816700,60740800
Marshall Islands,31,31.6,4,NA,98.2650833129883,174721700,88380600
Marshall Islands,32,31.2,4,NA,NA,182491200,100502300
Marshall Islands,33,30.8,4,NA,NA,200328200,96183600
Marshall Islands,34,30.2,4,NA,NA,181217100,92178100
Marshall Islands,35,29.6,4,NA,NA,168548700,82374800
Mauritius,22,14.2,1,NA,NA,2818319871.83766,2982651358.38729
Mauritius,23,13.8,1,NA,NA,3147411429.49304,3257692238.76853
Mauritius,24,13.7,1,NA,NA,3627943342.36413,3508045893.41237
Mauritius,25,13.8,1,NA,NA,4167180857.19516,3829950976.73599
Mauritius,26,14,1,NA,NA,4823089368.33175,4107909335.46949
Mauritius,27,14.1,1,NA,NA,5298319904.70625,4553278596.90806
Mauritius,28,13.9,1,NA,NA,6435675926.44661,5102134060.61969
Mauritius,29,13.6,1,NA,NA,5180852195.57069,4352373919.73667
Mauritius,30,13.3,1,NA,NA,6224223957.58891,5125648055.50863
Mauritius,31,13.1,1,NA,89.2498397827148,7497875008.70898,6040723193.7574
Mauritius,32,12.8,1,NA,91.7660064697266,7667254575.70715,6276838602.32945
Mauritius,33,12.6,1,NA,91.4900283813477,7466076465.56835,5872859218.14641
Mauritius,34,12.2,1,NA,92.4747619628906,7591504036.36649,6253984115.78755
Mauritius,35,11.8,1,NA,92.7076034545898,6681832574.08712,5596191312.9302
Mexico,25,16.7,1,NA,91.6302719116211,280628576973.545,266557906477.395
Mexico,26,16.2,2,NA,91.7345199584961,280595105053.582,266526112833.969
Mexico,27,15.8,3,NA,92.7951736450195,308103605534.306,289778188814.26
Mexico,28,15.4,4,NA,92.9255981445313,333835150453.292,307483574130.48
Mexico,29,15,5,NA,93.4418792724609,259328000666.001,244407308913.309
Mexico,30,14.4,5,NA,93.0689392089844,328581153292.181,314142282684.394
Mexico,31,13.8,5,NA,93.5199813842773,382867847673.324,366385100577.141
Mexico,32,13.1,5,NA,94.228401184082,402385300656.821,387538503663.769
Mexico,33,12.5,5,NA,93.9628524780273,413674331349.828,398972729094.895
Mexico,34,11.9,5,NA,94.5558776855469,434739905435.396,419247898589.43
Mexico,35,11.3,5,NA,94.472282409668,428461575941.899,404586122675.618
Mongolia,22,42.5,1,NA,NA,946734020.522735,708425456.996203
Mongolia,23,39.8,1,NA,NA,1083962181.86893,835170861.897535
Mongolia,24,37.3,1,NA,NA,1405234670.28888,1210933087.5405
Mongolia,25,34.9,1,NA,NA,1605232631.21152,1483028669.56616
Mongolia,26,32.7,1,NA,NA,1826066273.67383,2029426100.06008
Mongolia,27,30.6,1,NA,NA,2467564065.06216,2524671785.76775
Mongolia,28,28.6,1,NA,NA,3777731776.3995,3037494848.87771
Mongolia,29,26.8,1,NA,NA,2637353047.33985,2304668257.15766
Mongolia,30,25,1,NA,98.2570037841797,4074354772.60398,3355976968.51778
Mongolia,31,23.4,1,NA,NA,7749643979.15854,5470718737.76685
Mongolia,32,22.1,1,NA,NA,8115246246.99833,5356224605.54811
Mongolia,33,20.9,1,NA,NA,7728160165.09972,4893217361.06212
Mongolia,34,19.9,1,NA,NA,6978077038.57121,6388231517.37735
Mongolia,35,19,1,NA,NA,5245197251.27406,5363184214.94454
Montenegro,26,8.8,1,NA,NA,2107656504.83001,1104045916.44712
Montenegro,27,8.2,1,NA,NA,3155958116.61648,1582816862.85245
Montenegro,28,7.4,1,NA,NA,4219318880.91402,1796439138.71393
Montenegro,29,6.8,1,NA,NA,2707481244.79022,1427934148.37455
Montenegro,30,6.3,1,NA,NA,2596760264.90066,1533339072.84768
Montenegro,31,5.7,1,NA,98.4422073364258,2918516819.57187,1921875173.75591
Montenegro,32,5.3,1,NA,NA,2783478093.28023,1785211358.08814
Montenegro,33,4.9,1,NA,NA,2743424093.50511,1846366051.26843
Montenegro,34,4.6,1,NA,NA,2755675567.95536,1844211505.24777
Montenegro,35,4.3,1,NA,NA,2455975812.71497,1707766559.41418
Myanmar,9,80.1,1,NA,NA,NA,NA
Myanmar,10,78.3,2,NA,NA,NA,NA
Myanmar,11,76.4,3,NA,NA,NA,NA
Myanmar,12,74.6,4,NA,NA,NA,NA
Myanmar,13,72.7,5,NA,NA,NA,NA
Myanmar,14,70.8,6,NA,NA,NA,NA
Myanmar,15,69,7,NA,NA,NA,NA
Myanmar,16,67.3,8,NA,NA,NA,NA
Myanmar,17,65.6,9,NA,NA,NA,NA
Myanmar,18,63.9,10,NA,NA,NA,NA
Myanmar,19,62.3,11,NA,NA,NA,NA
Myanmar,20,60.7,12,NA,89.9417572021484,55822092.110987,47983870.8270788
Myanmar,21,59.2,13,NA,NA,28936974.9931771,30484464.4074696
Myanmar,22,57.7,14,NA,NA,15280128.2547127,19367367.6770846
Myanmar,23,56.2,15,NA,NA,16579332.4182804,21726064.4001405
Myanmar,24,54.7,16,NA,NA,14912668.7848099,19733138.1633936
Myanmar,25,53.2,17,NA,NA,11440182.1875086,21391403.1464477
Myanmar,26,51.7,18,NA,NA,13175715.9410337,22782752.4440549
Myanmar,27,50.2,19,NA,NA,16046272.1018293,27888285.302884
Myanmar,28,53.4,20,NA,NA,21203708.8506465,37137771.7903695
Myanmar,29,47.3,21,NA,NA,23880103.285794,37907354.2020232
Myanmar,30,45.8,22,NA,NA,7475675574.69153,9704377457.47027
Myanmar,31,44.5,23,NA,NA,60518082.1559769,59656394.9353566
Myanmar,32,43.2,24,NA,NA,6524981185.85476,6891864384.7412
Myanmar,33,41.9,24,NA,NA,11418499287.2454,11834021534.6316
Myanmar,34,40.7,24,NA,NA,14508467646.5863,13148404737.4215
Myanmar,35,39.5,24,NA,NA,20984282134.0064,15582395452.1719
Namibia,22,48.7,1,NA,NA,1615858491.37154,1546281764.96817
Namibia,23,48.1,2,NA,NA,2587532010.52256,2139539096.06462
Namibia,24,47.1,3,NA,NA,2780114571.88414,2630324999.61299
Namibia,25,45.3,4,NA,NA,2927229679.36723,2937171229.53784
Namibia,26,44.1,5,NA,NA,3315952743.11452,3627795200.47257
Namibia,27,42.7,6,NA,76.4865875244141,4878934184.00659,4412593266.52851
Namibia,28,41.3,7,NA,NA,5673632486.80579,4612895499.44318
Namibia,29,39.2,8,NA,NA,6491229356.71548,4646398527.20771
Namibia,30,37.5,8,NA,NA,6834854617.13709,5381379916.23808
Namibia,31,36,8,NA,88.2746276855469,7094428000,5619521917.80822
Namibia,32,35.5,8,NA,NA,7845428799.82426,5661745893.23635
Namibia,33,34.3,8,NA,NA,7252812278.84842,4511001261.52552
Namibia,34,33.4,8,NA,NA,7966506847.79902,4850431987.75235
Namibia,35,32.8,8,NA,NA,6988721065.99182,4007997810.88194
Nauru,21,32.6,1,NA,NA,NA,NA
Nauru,22,32.1,2,NA,NA,NA,NA
Nauru,23,31.7,3,NA,NA,NA,NA
Nauru,24,31.5,3,NA,NA,NA,NA
Nauru,25,31.5,3,NA,NA,NA,NA
Nauru,26,31.7,3,NA,NA,NA,NA
Nauru,27,32,3,NA,NA,NA,NA
Nauru,28,32.2,3,NA,NA,NA,NA
Nauru,29,32.2,3,NA,NA,NA,NA
Nauru,30,32,3,NA,NA,22901435.7438563,24663084.647229798
Nauru,31,31.5,3,NA,NA,44365572.3158829,40421965.8878044
Nauru,32,31,3,NA,NA,52588162.5077336,69086409.5689833
Nauru,33,30.4,3,NA,NA,73868882.7331487,88232276.5979276
Nauru,34,29.7,3,NA,NA,97310199.2105022,83539888.0014688
Nauru,35,29.1,3,NA,NA,108994092.68658,45760878.6088693
Nicaragua,12,47.1,1,NA,NA,954960000,309280000
Nicaragua,13,45.2,2,NA,NA,840604575.163399,358807189.542484
Nicaragua,14,43.3,3,NA,NA,1002161964.28571,507617767.857143
Nicaragua,15,41.4,4,NA,NA,1157042257.63612,666412217.795485
Nicaragua,16,39.5,4,NA,NA,1362967812.68524,725843473.621814
Nicaragua,17,37.6,4,NA,NA,1693911484.84881,852511351.488659
Nicaragua,18,37,4,NA,NA,1746535063.92871,896202984.284783
Nicaragua,19,34.2,4,NA,NA,2136873488.56901,899778094.834886
Nicaragua,20,32.6,4,NA,NA,2103725752.56107,1026990189.1253
Nicaragua,21,31.2,4,NA,76.677131652832,2072738556.06302,1013628825.18336
Nicaragua,22,29.8,4,NA,NA,2050197915.78947,984614526.315789
Nicaragua,23,28.6,4,NA,NA,2207225622.3517,1102014234.63983
Nicaragua,24,27.4,4,NA,NA,2557900747.0182,1336449667.29441
Nicaragua,25,26.3,4,NA,78.0029830932617,2987690324.08431,1541276323.25961
Nicaragua,26,25.3,4,NA,NA,3790457978.33894,2114713699.51112
Nicaragua,27,24.4,4,NA,NA,4451201994.74212,2454454291.67683
Nicaragua,28,23.5,4,NA,NA,5295608587.69661,2928933145.4323
Nicaragua,29,22.7,4,NA,NA,4399272351.82772,2820029990.9044
Nicaragua,30,22,4,NA,NA,5246155719.12869,3544323949.72935
Nicaragua,31,21.3,4,NA,NA,6530281881.70868,4400092756.5186
Nicaragua,32,20.6,4,NA,NA,7131020482.70034,4999469140.04935
Nicaragua,33,20,4,NA,NA,7223494102.60974,4965861472.00155
Nicaragua,34,19.4,4,NA,NA,7329047070.56154,5347183432.27178
Nicaragua,35,18.8,4,NA,82.6145477294922,7412975844.55989,5113329517.77171
Niger,22,94.1,1,NA,NA,523795054.923455,330046103.506487
Niger,23,90.2,2,NA,NA,680971775.135009,449528579.045813
Niger,24,86.2,3,NA,NA,852298669.581256,535224560.691506
Niger,25,82.3,4,NA,28.672420501709,1048787594.92754,631446716.872546
Niger,26,78.7,5,NA,NA,1076878296.22324,659142332.203268
Niger,27,75.2,6,NA,NA,1284232498.47475,747917443.89555
Niger,28,71.9,7,NA,NA,1928301816.88336,957983302.11813
Niger,29,68.9,8,NA,NA,2528836605.38224,1096776844.22441
Niger,30,66.1,8,NA,NA,2809990350.58568,1271701625.04422
Niger,31,63.7,8,NA,NA,3066192805.64916,1341103064.77131
Niger,32,61.6,8,NA,30.5603904724121,2734144775.47235,1518741429.05748
Niger,33,59.8,8,NA,NA,2997572632.18253,1736106080.10169
Niger,34,58.4,8,NA,NA,3237513339.88612,1732628475.3594
Niger,35,57.1,8,NA,NA,2949969001.33552,1319664389.59697
Nigeria,14,124.4,1,NA,NA,3217518984.31523,4584122396.71002
Nigeria,15,123.4,2,NA,NA,6773530071.0631,10643648146.6742
Nigeria,16,121.9,3,NA,NA,8801910405,11760052946.25
Nigeria,17,119.9,4,NA,NA,12422516649.0017,15602035798.6197
Nigeria,18,117.5,5,NA,NA,11540302687.5,9907407840.90909
Nigeria,19,114.8,6,NA,NA,7791764870.6222,12666750049.0047
Nigeria,20,112,7,NA,NA,9009124610.97787,25017710170.2798
Nigeria,21,109,8,NA,NA,15864368093.3334,20914287341.7824
Nigeria,22,105.9,9,NA,NA,16020476815.0462,22167396759.1157
Nigeria,23,102.9,10,NA,54.7731781005859,23692877634.9921,28065394964.8049
Nigeria,24,99.8,11,NA,NA,15878147174.3122,27623348089.3685
Nigeria,25,96.6,12,NA,NA,21181013076.4361,37047965134.0742
Nigeria,26,93.4,13,NA,70.1983489990234,30812594225.3386,69688762821.6339
Nigeria,27,90.3,14,NA,NA,49889888791.7392,58532798127.4656
Nigeria,28,87.3,15,NA,51.0776596069336,50982563652.928,86517259524.5727
Nigeria,29,84.3,16,NA,NA,50869959017.2577,54378278592.5211
Nigeria,30,81.5,16,NA,NA,64169884762.2723,93240368002.2356
Nigeria,31,78.8,16,NA,NA,88882647550.136,129735238566.348
Nigeria,32,76.2,16,NA,NA,59653564658.659,144917468548.452
Nigeria,33,73.8,16,NA,NA,66940227587.1012,92950933817.8082
Nigeria,34,71.5,16,NA,NA,70778502339.2868,104803495811.485
Nigeria,35,69.4,16,NA,NA,52753934758.4679,52753773408.1687
Pakistan,10,106.1,1,NA,NA,8100453419.34278,5917028934.69827
Pakistan,11,104.3,2,NA,NA,8434856856.74946,7725443913.95311
Pakistan,12,102.5,3,NA,NA,9984100401.52539,8442727144.32719
Pakistan,13,100.7,4,NA,NA,11552179554.512,8394297012.57376
Pakistan,14,98.9,5,NA,NA,9883119861.97772,8449775780.2813
Pakistan,15,97.1,9,NA,NA,11777203672.1098,10132260947.2744
Pakistan,16,95.2,10,NA,NA,13567618581.1477,10703064802.2602
Pakistan,17,93.3,11,NA,NA,12967591818.8947,10040494157.2716
Pakistan,18,91.4,12,NA,42.6993103027344,10900343051.9781,10252214043.9952
Pakistan,19,89.5,13,NA,NA,10684436233.8005,9668690514.20587
Pakistan,20,87.7,13,NA,NA,10862333897.0766,9940178787.14665
Pakistan,21,86,13,NA,NA,11361301958.09,10600274819.6496
Pakistan,22,84.4,13,NA,NA,11073075673.9201,11007713543.3582
Pakistan,23,82.9,14,NA,NA,13423663991.8047,13917671162.7113
Pakistan,24,81.4,15,NA,NA,14337311099.531,15350078165.7113
Pakistan,25,80,15,NA,49.8736381530762,21422766419.1275,17180327371.7266
Pakistan,26,78.7,16,NA,54.1512107849121,29577339842.2229,19400851368.1031
Pakistan,27,77.4,17,NA,52.1368293762207,30135517579.188,20137183305.7911
Pakistan,28,76.1,18,NA,55.5263710021973,39478276162.5351,21059563684.6186
Pakistan,29,74.8,19,NA,54.8926391601563,33085901223.3386,20843801712.9033
Pakistan,30,73.5,20,NA,55.3751907348633,34286260751.8489,23946181767.915
Pakistan,31,72.1,21,NA,54.7380218505859,40524442875.8579,29831048429.9786
Pakistan,32,70.6,22,NA,56.7643394470215,45794092923.3504,27816080760.866
Pakistan,33,69.1,23,NA,55.5949897766113,46374225334.6554,30699243926.6237
Pakistan,34,67.4,24,NA,56.9771499633789,45594469822.3761,29916086156.5945
Pakistan,35,65.8,25,NA,NA,46130526984.1145,28690885214.612
Panama,7,28.1,1,NA,NA,3497613100,3233834800
Panama,8,27.2,2,NA,NA,2824846900,2940126900
Panama,9,26.4,3,NA,NA,3393593400,3092916000
Panama,10,25.7,4,NA,88.7798614501953,4137057400,3699099600
Panama,11,25.1,4,NA,NA,5369275600,4552713300
Panama,12,24.6,4,NA,NA,6315044100,5336629500
Panama,13,24.2,4,NA,NA,6641440500,5626006400
Panama,14,23.8,4,NA,NA,7264372200,6185029900
Panama,15,23.5,4,NA,NA,7664630500,6399816900
Panama,16,23.3,4,NA,NA,8362252100,7036371500
